ID_REF	Mann1_4hr	Mann1_12hr	Mann1_24hr	Mann2_4hr	Mann2_12hr	Mann2_24hr	Mann3_4hr	Mann3_12hr	Mann3_24hr	MGd1_4hr	MGd1_12hr	MGd1_24hr	MGd2_4hr	MGd2_12hr	MGd2_24hr	MGd3_4hr	MGd3_12hr	MGd3_24hr
200603_at	905.9	880.7	883.7	281.9	521.0	244.9	374.2	501.2	860.9	1085.6	863.5	1100.5	414.6	271.1	729.6	429.4	384.4	465.6
200604_s_at	916.7	739.9	845.6	855.2	1036.2	792.7	754.9	898.0	524.5	963.7	1037.4	1032.1	987.8	834.6	870.1	412.9	611.8	677.9
200605_s_at	1654.0	1269.4	2043.9	729.6	1567.2	1189.5	782.1	907.3	1616.7	1584.3	1875.8	1601.7	1173.0	1109.4	1105.3	883.2	577.6	1005.9
200606_at	746.5	803.6	701.3	454.4	672.3	750.5	628.7	696.3	1031.0	867.7	806.2	693.2	710.2	551.0	859.5	805.8	697.2	694.0
200607_s_at	338.3	309.0	444.7	614.1	387.6	395.5	435.5	174.0	374.5	226.6	312.8	331.9	375.4	258.1	310.7	173.9	523.9	289.2
200608_s_at	466.2	263.5	468.0	180.5	396.8	70.7	235.0	164.5	396.2	510.9	336.8	380.5	206.9	245.0	198.1	261.3	297.6	270.4
200609_s_at	883.1	899.3	1037.5	1122.7	976.4	643.5	1532.4	875.8	917.9	947.9	789.6	1123.7	1679.6	884.4	910.5	1016.5	1188.7	908.7
200610_s_at	3339.3	3030.1	3338.1	1908.4	3072.0	2295.1	2519.7	2748.3	3349.0	2870.6	2949.0	3430.5	2414.3	2717.3	2694.3	3043.3	2902.9	4145.2
200611_s_at	819.1	459.4	1038.5	981.9	789.2	1078.9	916.1	897.1	773.8	821.7	846.3	654.3	951.4	843.0	864.6	689.4	893.9	815.1
200612_s_at	1050.4	1141.6	1227.8	788.8	1214.4	1157.4	1466.9	866.3	1445.8	1059.8	870.3	1058.0	1024.9	1119.6	880.6	1665.2	1022.7	1104.8
200613_at	1043.7	1157.6	1170.4	1321.4	1436.6	1344.1	1332.1	1076.0	1072.8	938.2	1162.6	1081.2	1022.6	1140.0	1287.7	1120.4	1492.0	1513.1
200614_at	3812.9	3928.5	4053.7	3502.0	3876.5	3109.9	4472.4	4568.1	4233.2	3854.6	3862.7	3837.7	3976.3	3921.4	3733.5	3930.4	4775.6	4293.8
200615_s_at	775.0	712.6	624.4	792.8	641.5	538.7	705.3	487.6	722.3	789.9	537.4	640.4	671.5	631.8	714.1	540.1	522.6	471.6
200616_s_at	458.2	279.8	205.0	265.3	305.6	375.9	237.5	298.0	394.3	248.9	205.7	290.6	234.3	278.7	528.2	204.6	356.6	427.2
200617_at	1035.2	704.7	1000.4	1043.8	1067.3	912.5	1213.2	928.9	884.6	880.3	1108.9	1062.0	975.1	1624.3	1027.5	1440.6	1463.6	1066.9
200618_at	1862.4	1601.4	1879.2	1587.4	3159.9	1637.1	1411.0	1473.1	1464.8	2181.9	2162.7	2056.4	2153.6	1426.0	1861.8	1423.9	1784.9	2226.9
200619_at	950.1	833.6	1089.5	1324.8	1089.0	866.5	814.4	910.8	932.5	771.9	706.1	837.7	987.0	1444.5	875.3	780.2	992.6	1356.9
200620_at	1083.4	864.9	1106.3	1018.9	1095.2	765.5	1063.5	1109.8	826.4	1110.3	1117.9	1010.3	840.0	962.4	775.5	910.9	766.2	868.3
200621_at	1227.5	1091.8	988.8	870.4	1053.0	862.9	1247.2	1525.0	1138.4	1874.4	1401.0	1352.4	1418.8	2265.6	1246.4	1347.7	1808.5	1692.7
