GeneID	285_D2	285_D5	285_D14	BM45_D2	BM45_D5	BM45_D14	DV10_D2	DV10_D5	DV10_D14	EC1118_D2	EC1118_D5	EC1118_D14	VIN13_D2	VIN13_D5	VIN13_D14	
YLR034C	2911.346667	3293.886667	1897.105000	3686.886667	3588.863333	1812.340000	2196.946667	4260.613333	2101.623333	1682.536667	2812.413333	2217.660000	1419.213333	2903.990000	2201.510000	
YLR035C	134.182667	460.146333	462.445500	187.439333	615.862000	359.894500	171.909000	746.480667	510.148667	194.318333	590.447667	435.499667	149.921667	584.060667	385.288667	
YLR036C	485.359333	209.369000	175.287000	425.026000	248.290000	222.673000	280.429000	213.462667	129.984667	215.759333	140.038667	203.230000	304.877000	200.685667	207.408000	
YLR037C	1479.973000	819.798167	1484.933500	1259.380167	754.119667	1384.565500	1263.019833	1069.431000	1591.512500	1340.188167	1076.350667	1105.226000	2024.873333	1073.266833	1352.199333	
YLR038C	4984.010000	4761.083333	5292.520000	4750.716667	5071.116667	9162.770000	5533.193333	7608.980000	6381.620000	4815.103333	4783.893333	8620.146667	3794.776667	4905.100000	6484.103333	
YLR039C	420.292667	287.067667	71.212550	392.607333	285.779000	73.474550	445.482667	446.932000	72.614300	529.804333	276.952667	156.880000	446.339667	287.519000	73.436667	
YLR040C	24.572733	16.911900	21.703800	29.798033	19.031900	38.767550	26.579233	33.930633	24.453133	25.192233	18.460533	42.185467	23.948333	17.002500	23.920300	
YLR042C	35.896800	19.101033	53.707450	28.114600	20.008733	143.932000	33.768767	30.694500	68.531900	27.835933	33.273233	170.183667	53.884833	23.277667	58.127233	
YLR043C	5108.403333	984.772000	835.512500	3575.633333	939.714333	676.701000	5231.700000	2635.100000	1398.160000	3763.276667	1818.720000	1174.300000	4406.493333	1406.673333	1356.176667	
YLR044C	8556.713333	8082.913333	14148.850000	8896.796667	8113.983333	18606.500000	10257.016667	12313.566667	18359.800000	9849.850000	7772.430000	17114.566667	9112.313333	7972.793333	14634.233333	
YLR045C	411.024333	487.332000	186.354000	375.022000	465.096667	215.396000	296.729333	370.581333	129.031667	364.233667	355.442667	159.873667	535.044667	352.914667	122.777000	
YLR046C	612.649333	625.904000	1032.990000	981.310000	829.943000	956.345000	522.430000	775.749000	1190.223333	533.758333	656.019000	901.124000	457.487667	655.548000	1009.884000	
YLR047C	184.700000	335.395667	530.410500	330.177667	322.784667	291.460500	145.284667	348.777000	480.913000	137.857333	247.424333	203.594000	166.104667	304.989667	483.543333	
YLR048W	6211.320000	1263.913333	119.648000	6121.103333	1642.313333	68.210800	4664.126667	1283.435333	189.925667	5472.023333	927.302000	128.083667	5915.056667	1516.366333	158.924833	
YLR049C	890.269000	1051.292333	1341.455000	1087.798333	1403.020000	1177.310000	877.569000	1532.688000	1109.653333	1090.403333	1153.696667	820.168000	982.021667	1217.270000	1008.113000	
YLR050C	5145.070000	1407.173333	238.358500	4568.016667	1643.623333	201.594000	3389.606667	1542.820000	303.029667	2586.106667	932.500333	346.369000	2247.306667	1025.562000	420.693000	
YLR051C	1034.308000	769.564667	301.264500	868.728000	1042.363667	222.620000	1067.007667	664.306333	397.167333	938.688333	600.004000	571.073000	833.902000	769.458333	302.384667	
YLR052W	346.988333	437.835333	95.716800	359.441333	591.995000	42.158350	290.703667	735.662333	126.086333	419.392667	472.114333	138.216067	348.635000	592.283333	114.496333	
YLR053C	492.311667	1648.396667	1922.220000	487.924000	1899.950000	2939.195000	1324.418000	2887.896667	2215.823333	891.408333	1735.010000	2796.853333	439.619000	2015.020000	1528.590000	
YLR054C	30.719333	203.003667	827.838500	48.639333	322.289333	584.239500	44.916167	434.267667	664.071667	38.660767	475.168000	445.471667	39.267433	518.943667	431.422000	
YLR055C	397.384333	1192.526667	1018.974000	452.067000	1267.176667	566.524000	340.150000	1643.173333	1142.981667	520.525667	1492.083333	1155.240000	500.315333	1310.726667	924.881000	
YLR056W	8208.860000	6759.573333	2064.400000	7011.923333	5676.250000	2543.620000	7265.080000	7692.030000	3948.150000	6009.086667	5411.246667	3970.813333	5704.040000	6055.006667	4333.466667	
YLR057W	438.806000	403.174333	384.040000	520.571000	591.231667	562.814500	524.263000	599.933333	311.415333	509.988667	412.367000	463.972667	343.561333	432.323333	257.824667	
YLR058C	7852.443333	2171.160000	2678.565000	7131.930000	2159.080000	898.896500	9010.696667	2541.296667	825.252333	10105.816667	1690.846667	1806.960000	9025.033333	2750.830000	3395.306667	
YLR059C	761.198000	576.693000	175.381500	804.977333	591.543333	165.645000	487.968667	773.895333	197.420667	580.292333	520.461667	255.635333	624.292333	562.355333	284.389667	
YLR060W	3072.746667	945.335000	112.045500	2880.103333	939.134667	181.820500	2838.556667	868.313667	95.212267	3548.923333	689.862000	240.721333	4147.536667	913.213333	177.761700	
YLR061W	6915.550000	1527.733333	527.230500	5121.383333	1866.016667	317.226000	6427.633333	1445.396667	452.223000	5979.676667	1457.056667	416.508333	6726.113333	1853.273333	424.517667	
YLR063W	133.209433	105.090367	61.485750	142.875000	89.371467	84.219600	122.811767	164.382633	63.205733	162.885667	136.914000	104.422300	211.691000	166.237333	83.482367	
YLR064W	909.278000	2009.363333	2818.690000	1058.087000	1462.495667	4400.610000	670.740000	2506.303333	3807.566667	766.056000	2101.273333	5036.196667	638.315000	2249.620000	2787.183333	
YLR065C	2501.590000	958.556000	224.600500	3289.603333	1301.200333	319.721000	2500.216667	1192.640000	219.773667	2604.483333	960.982000	405.398000	2970.200000	1124.361667	252.624000	
YLR066W	1708.086667	451.922333	157.279500	1569.050000	597.766667	153.583500	1612.450000	727.832667	246.596000	1507.466667	507.698667	328.001333	1526.450000	619.192667	162.652333	
