IDENTIFIER	NoMGd1_4	NoMGd2_4	NoMGd3_4	NoMGd1_12	NoMGd2_12	NoMGd3_12	NoMGd1_24	NoMGd2_24	NoMGd3_24	MGd1_4	MGd2_4	MGd3_4	MGd1_12	MGd2_12	MGd3_12	MGd1_24	MGd2_24	MGd3_24
CTDNEP1	911.9	807.2	903.3	779.0	1045.6	874.0	1337.4	784.1	998.8	620.4	1055.4	677.9	746.9	1464.3	843.9	618.8	702.2	928.9
RPL10A	6686.9	8021.6	8550.0	6728.8	8694.4	8464.1	7206.7	7452.5	6394.2	6789.0	6749.7	7731.9	8075.8	7159.5	8915.7	7424.9	7538.8	7754.4
CBX3	1109.7	757.4	630.4	1050.3	1051.4	889.2	1146.9	524.4	1321.7	1315.4	831.0	907.5	871.0	524.0	781.0	1059.8	761.8	986.9
RPL17-C18orf32	9884.1	7863.1	8494.2	10397.5	9965.9	9381.3	9726.9	7835.1	8927.0	8688.5	9257.6	8184.7	10417.2	9009.7	7650.0	9275.6	10456.6	9840.2
PSMB2	1376.2	1041.3	1797.8	1405.8	1591.5	1335.4	1330.1	1152.1	1498.3	1369.2	1338.5	1312.2	1283.4	1386.0	1390.0	1400.7	1077.7	1411.2
KHDRBS1	1089.5	957.2	960.2	1326.2	1063.7	1129.9	1335.1	934.9	1008.8	1055.6	1064.1	1028.3	968.8	962.7	999.8	1076.8	1226.6	1074.7
ATP6V1G2-DDX39B	2206.4	1819.5	2494.1	1929.3	2214.0	2178.6	2335.5	1944.3	2190.4	1954.5	2186.1	2607.2	2005.5	2056.7	2431.2	2238.7	1791.0	2735.5
RTCB	663.3	810.3	862.9	799.8	715.5	673.2	618.5	576.8	769.2	854.6	574.8	544.6	846.9	715.3	817.9	728.8	729.2	747.6
ERH	3363.7	2221.4	2442.3	2600.3	3075.2	2357.9	3499.6	2023.9	3068.8	3754.5	2670.1	3106.6	2927.2	2120.7	2075.1	3028.9	2878.9	2904.2
GATC	1222.6	1528.4	1331.5	1089.7	1491.6	1241.2	1346.3	1123.4	1369.9	1481.0	1149.3	1267.9	1253.6	1443.0	1072.6	2334.4	1407.1	1214.7
ABCF1	433.2	461.8	696.4	495.7	479.6	571.0	548.7	728.1	499.8	430.5	271.0	541.4	574.9	514.1	535.9	436.1	562.6	498.9
DAD1	2447.9	2351.5	2040.2	2153.1	2415.9	1776.1	2025.1	2066.4	2030.0	2297.3	2068.3	1949.1	2015.9	1989.2	2094.2	2013.6	1714.4	2063.8
YY1	561.6	320.7	476.7	650.1	616.2	438.2	533.0	464.4	719.1	726.5	398.1	699.7	665.0	437.8	398.2	606.7	476.5	405.2
JTB	2573.0	2370.6	2624.4	1944.2	2179.6	2890.6	2182.8	1853.5	2307.6	2437.1	2009.5	2317.4	2925.7	2639.3	2584.5	2366.4	2676.2	2794.1
KAT7	330.0	344.3	422.0	398.6	255.7	283.0	291.2	284.6	314.4	373.5	360.7	373.9	329.4	479.9	322.1	426.8	285.4	219.7
ZNF146	935.8	512.5	811.0	994.3	926.6	751.1	1257.4	775.7	945.8	1321.5	534.1	727.0	1188.1	528.1	544.7	1217.3	1049.6	747.1
SART1	339.7	217.1	421.2	282.6	344.0	354.8	259.5	433.1	256.2	295.3	274.0	173.8	272.3	360.5	394.3	334.0	477.5	300.9
ILF2	614.1	637.2	757.3	542.9	556.2	769.7	727.3	518.3	772.5	800.4	754.6	620.7	823.9	555.1	711.9	693.0	660.9	797.0
SPAG7	1282.8	1287.1	1571.6	969.0	963.5	1073.6	1090.1	1007.9	850.1	1296.9	892.4	1215.4	1109.0	1596.0	1368.9	1136.3	989.0	1110.9
ZPR1	216.7	206.8	223.5	321.9	219.9	297.2	197.4	148.5	485.9	362.3	468.0	370.3	275.1	229.9	272.1	244.8	221.1	397.6
