ID_REF	Mann1_4hr	Mann2_4hr	Mann3_4hr	Mann1_12hr	Mann2_12hr	Mann3_12hr	Mann1_24hr	Mann2_24hr	Mann3_24hr	MGd1_4hr	MGd2_4hr	MGd3_4hr	MGd1_12hr	MGd2_12hr	MGd3_12hr	MGd1_24hr	MGd2_24hr	MGd3_24hr
218185_s_at	302.8	194.9	249.9	357.2	432.9	232.9	298.8	139.4	574.0	252.3	285.9	590.6	277.7	273.2	128.7	401.3	375.8	295.8
218365_s_at	72.4	249.4	295.4	123.2	159.0	130.8	95.2	269.8	224.5	203.8	305.7	104.2	122.6	206.6	167.4	124.6	134.9	258.8
201375_s_at	1494.7	937.2	1233.6	1417.9	1610.6	1300.4	1627.5	1300.6	1610.4	1774.6	1223.4	1113.9	1219.0	878.7	1093.1	1737.6	1476.0	1407.6
221656_s_at	175.5	282.8	237.5	126.1	204.3	294.7	115.9	231.7	281.1	79.5	210.7	191.8	132.1	205.7	279.3	178.2	237.7	202.1
218465_at	225.3	253.2	279.6	190.3	248.1	139.6	261.2	188.7	172.2	298.9	127.2	344.4	280.4	222.4	238.6	314.5	210.3	183.0
219083_at	99.1	50.0	110.2	218.1	165.2	208.5	202.5	50.0	263.3	249.8	215.4	104.5	235.2	50.0	232.2	75.3	50.0	281.0
221693_s_at	435.8	309.5	307.5	276.6	276.5	50.0	317.5	373.6	50.0	248.0	384.7	351.7	235.9	394.1	397.4	343.9	366.5	220.8
219166_at	76.9	251.0	61.5	148.0	92.1	132.8	172.5	241.1	84.7	118.5	252.6	89.5	206.7	228.0	102.8	96.9	138.1	117.3
218106_s_at	299.2	182.8	346.0	304.5	329.5	381.0	312.1	375.6	539.1	239.6	156.8	363.7	294.6	183.7	355.9	260.9	288.5	355.3
218126_at	290.8	359.7	369.7	209.1	342.3	313.0	198.7	236.8	352.5	241.9	382.0	339.5	328.4	380.0	288.4	264.8	209.3	426.1
218993_at	300.6	503.9	314.5	399.1	338.6	354.7	436.7	368.8	272.0	251.5	617.6	351.7	390.5	402.4	413.5	389.6	276.3	457.4
220643_s_at	156.9	50.0	78.3	105.5	164.5	102.4	82.6	65.6	145.2	82.1	148.7	50.0	69.9	50.0	50.0	126.2	159.6	86.5
200695_at	947.9	620.3	823.6	862.0	695.9	964.2	770.6	721.0	1066.3	628.3	1054.3	591.8	653.5	746.3	1141.6	647.1	1111.7	842.9
218514_at	296.3	316.5	344.1	438.0	304.6	237.0	319.2	332.7	280.7	400.6	403.0	257.1	342.2	401.2	318.2	369.7	400.6	266.3
219988_s_at	210.0	379.3	470.0	360.0	497.3	207.6	267.4	390.9	190.0	319.4	331.7	294.1	207.5	363.8	396.5	275.6	337.3	237.6
201919_at	667.6	478.8	493.9	661.9	535.2	640.5	667.4	657.2	614.5	649.4	575.0	617.8	548.4	565.9	476.9	671.3	574.8	478.7
212323_s_at	49.0	92.9	168.3	163.8	137.0	56.6	122.4	187.7	50.0	238.7	73.9	274.3	186.8	50.0	88.5	120.1	207.9	184.3
219446_at	249.1	498.8	257.8	170.9	141.0	409.0	214.1	280.8	257.1	110.1	171.1	172.4	176.9	209.2	175.0	259.5	239.2	315.3
202884_s_at	78.5	50.0	50.0	50.0	165.3	155.2	143.7	245.2	50.0	49.0	75.8	50.0	154.5	66.3	50.0	79.1	178.0	212.0
218840_s_at	203.6	304.3	172.9	129.7	218.6	50.0	221.3	50.0	92.5	156.0	180.0	76.7	221.4	224.7	176.2	139.8	315.2	293.4
220355_s_at	231.6	299.6	232.2	122.9	94.1	221.8	179.8	241.9	157.0	132.4	117.0	130.7	111.3	144.4	191.4	140.6	76.0	172.6
218614_at	182.2	113.7	169.8	229.3	317.4	99.1	196.1	289.7	139.1	160.5	138.0	50.0	162.5	202.6	160.3	151.4	236.8	64.7
218209_s_at	297.1	67.5	101.5	139.6	138.8	145.4	146.1	452.2	50.0	104.2	189.6	91.8	242.4	50.0	103.9	144.0	181.3	98.2
218218_at	313.5	398.3	214.4	228.9	366.7	290.7	250.7	196.9	293.3	275.1	285.7	138.2	242.4	207.5	151.7	273.9	284.5	186.2
220353_at	49.0	243.6	173.3	170.8	123.6	50.3	204.2	247.5	82.8	73.0	174.7	143.7	272.3	71.1	326.5	158.9	274.3	295.1
202313_at	651.8	490.9	626.7	693.0	465.3	757.0	777.0	1090.3	659.5	696.3	652.9	585.0	507.6	848.3	681.9	622.6	640.7	653.7
220073_s_at	49.0	50.0	121.6	50.0	165.3	218.1	76.2	105.8	134.7	156.9	202.0	50.0	157.4	50.0	211.6	114.3	269.7	167.8
218522_s_at	49.0	146.5	161.1	80.5	50.0	262.9	182.4	124.4	143.5	66.9	53.9	241.1	90.6	97.2	165.0	112.7	152.6	106.8
218361_at	355.9	228.3	143.1	504.3	336.6	507.4	377.4	146.8	607.0	450.4	419.3	171.9	323.6	299.1	141.5	388.9	305.2	289.4
220617_s_at	727.0	457.5	770.7	658.0	737.6	590.8	727.6	579.6	841.8	633.2	501.9	960.9	771.5	582.8	574.0	590.7	497.8	635.7
218737_at	75.7	60.8	154.0	50.0	230.8	79.8	146.6	181.1	74.6	63.4	210.9	119.3	72.9	84.4	101.0	50.0	50.0	50.0
